name,count,changed,beforeNorm,afterNorm,deltaNorm,maxAbsDelta,beforeFinite,afterFinite
classifier.dense.bias,768,768,0.1897205729100642,0.189839575825357,0.001488420735716144,9.745266288518906e-05,True,True
classifier.dense.weight,589824,589813,16.296400247662472,16.295635359996012,0.03793138085133781,0.00010784808546304703,True,True
classifier.out_proj.bias,28,18,0.0546161470185889,0.05468684798056042,0.00021843885046475683,8.98381695151329e-05,True,True
classifier.out_proj.weight,21504,13824,3.804681145791635,3.8048545103063933,0.0058145156305014645,0.00010213162750005722,True,True
roberta.embeddings.LayerNorm.bias,768,768,1.9522530718829563,1.952252192819594,0.001139074801364245,8.608773350715637e-05,True,True
roberta.embeddings.LayerNorm.weight,768,768,9.895881889901089,9.895886973409182,0.000705231636075855,7.241964340209961e-05,True,True
roberta.embeddings.position_embeddings.weight,394752,380898,41.54512016990132,41.545156127593685,0.009674421504106917,8.699775207787752e-05,True,True
roberta.embeddings.token_type_embeddings.weight,768,768,0.05315908852854922,0.053218590206154374,0.001140314581937793,8.623185567557812e-05,True,True
roberta.embeddings.word_embeddings.weight,38603520,5421497,818.3146293561687,818.3146284476495,0.027208465717399172,8.699775207787752e-05,True,True
roberta.encoder.layer.0.attention.output.LayerNorm.bias,768,768,5.39782669785073,5.397824619327055,0.0011081391361735511,8.469820022583008e-05,True,True
roberta.encoder.layer.0.attention.output.LayerNorm.weight,768,766,16.952476387042477,16.95250974432747,0.0006599904086660623,6.979703903198242e-05,True,True
roberta.encoder.layer.0.attention.output.dense.bias,768,768,2.3979350894961415,2.397992390934632,0.0011108416643459923,8.512288331985474e-05,True,True
roberta.encoder.layer.0.attention.output.dense.weight,589824,589804,29.345972530713595,29.345969487788516,0.018584537265398975,9.242072701454163e-05,True,True
roberta.encoder.layer.0.attention.self.key.bias,768,768,0.022830859266768474,0.02283087286434625,1.5945367453342199e-06,5.594920367002487e-07,True,True
roberta.encoder.layer.0.attention.self.key.weight,589824,589729,77.21003449018832,77.21004626635953,0.013376237269085512,7.297098636627197e-05,True,True
roberta.encoder.layer.0.attention.self.query.bias,768,768,9.37989401625187,9.379905419252417,0.0006015625146269328,6.789714097976685e-05,True,True
roberta.encoder.layer.0.attention.self.query.weight,589824,589729,77.98801946480432,77.98804708798991,0.01322568772893519,7.542967796325684e-05,True,True
roberta.encoder.layer.0.attention.self.value.bias,768,768,1.5240321426698316,1.5239814214382892,0.0011029926362173335,8.765608072280884e-05,True,True
roberta.encoder.layer.0.attention.self.value.weight,589824,589798,29.19867832709851,29.198729245967257,0.01871479991588903,9.057670831680298e-05,True,True
