slice,rows,macro_f1_all_18,macro_f1_supported_labels,supported_labels,micro_f1
all OOF,841,0.49230616419885426,0.49230616419885426,18,0.5708884688090737
PHQ OOF,468,0.4977110247234349,0.4977110247234349,18,0.5925925925925926
COSO OOF,319,0.3708919907894789,0.3708919907894789,18,0.5213414634146342
HUM OOF,54,0.48630751964085295,0.5835690235690234,15,0.6942148760330579
reviewed 221,221,0.4113372723460442,0.4113372723460442,18,0.46652267818574517
A/B disagreement 179,179,0.4212912083139121,0.4212912083139121,18,0.4566929133858268
controls 42,42,0.23456790123456786,0.28148148148148144,15,0.5121951219512195
not reviewed 620,620,0.5238770416887608,0.5238770416887608,18,0.6138790035587188
